NETWERK 1
NODES 15668
966 762 127
967 968 127
968 992 127
969 1061 127
970 1462 127
971 1483 127
972 1531 127
973 1867 127
974 2131 127
975 2132 127
976 2149 127
977 2308 127
978 350 128
979 665 128
980 674 128
981 689 128
982 700 128
983 712 128
984 929 128
985 1024 128
986 1419 128
987 1441 128
988 1515 128
989 2506 128
990 480 129
991 886 129
992 963 129
993 1398 129
994 2419 129
995 33 130
996 850 130
997 862 130
998 1365 130
999 2255 130
1000 2266 130
1001 2276 130
1002 2291 130
1003 2301 130
1004 2761 130
1005 2766 130
1006 2784 130
1007 2879 130
1008 76 131
1009 227 131
1010 323 131
1011 783 131
1012 811 131
1013 826 131
1014 837 131
1015 2129 131
1016 2308 131
1017 2731 131
1018 2749 131
1019 2838 131
1020 100 132
1021 361 132
1022 493 132
1023 550 132
1024 737 132
1025 750 132
1026 762 132
1027 772 132
1028 2249 132
1029 661 133
1030 674 133
1031 689 133
1032 701 133
1033 713 133
1034 2639 133
1035 273 134
1036 2608 134
1037 146 135
1038 358 135
1039 534 135
1040 2109 136
1041 2716 136
1042 191 137
1043 1854 137
1044 2043 137
1045 2076 137
1046 2153 137
1047 2685 137
1048 340 138
1049 1977 138
1050 2010 138
1051 528 139
1052 2685 139
1053 528 140
1054 2656 140
1055 -14 141
1056 44 141
1057 66 142
1058 216 142
1059 372 142
1060 2234 142
1061 89 143
1062 1563 143
1063 2131 143
1064 2150 143
1065 2175 143
1066 2204 143
1067 2206 143
1068 2785 143
1069 262 144
1070 1517 144
1071 1531 144
1072 1870 144
1073 2149 144
1074 1484 145
1075 1894 145
1076 2134 145
1077 17 146
1078 135 146
1079 349 146
1080 1828 146
1081 1852 146
1082 1871 146
1083 2308 146
1084 2837 146
1085 2838 146
1086 307 147
1087 470 147
1088 1783 147
1089 1795 147
1090 1805 147
1091 2147 147
1092 2817 147
1093 180 148
1094 1762 148
1095 1850 148
1096 2249 148
1097 2886 148
1098 330 149
1099 1284 149
1100 2109 149
1101 2135 149
1102 2785 149
1103 2804 149
1104 345 150
1105 522 150
1106 2838 150
1107 1166 151
1108 1729 151
1109 1732 151
1110 1755 151
1111 363 152
1112 1676 152
1113 1696 152
1114 1703 152
1115 1849 152
1116 2507 152
1117 2817 152
1118 206 153
1119 1630 153
1120 1657 153
1121 56 154
1122 78 154
1123 1463 154
1124 1479 154
1125 1484 154
1126 2420 154
1127 2716 154
1128 2804 154
1129 2818 154
1130 -29 155
1131 251 155
1132 488 155
1133 1420 155
1134 1441 155
1135 2374 155
1136 2609 155
1137 2685 155
1138 2731 155
1139 5 156
1140 124 156
1141 1385 156
1142 1399 156
1143 1409 156
1144 2555 156
1145 2582 156
1146 2640 156
1147 27 157
1148 1829 157
1149 1874 157
1150 2507 157
1151 2512 157
1152 2609 157
1153 2821 157
1154 3 158
1155 296 158
1156 368 158
